iteration,PSNR,SSIM,LPIPS
0,5.519647121429443,0.0033219039905816317,0.7902578711509705
5,6.093514442443848,0.004152833484113216,0.7839330434799194
10,6.7703166007995605,0.005355538800358772,0.7779549956321716
15,7.640947341918945,0.007205899339169264,0.7722562551498413
20,8.764434814453125,0.010208258405327797,0.7670667171478271
25,10.194576263427734,0.01536702923476696,0.7588915824890137
30,11.99587345123291,0.024660717695951462,0.735942006111145
35,14.262992858886719,0.04265851154923439,0.6745785474777222
40,17.154706954956055,0.08326269686222076,0.5913954973220825
45,20.571630477905273,0.21619665622711182,0.4942189157009125
50,22.32691192626953,0.6290613412857056,0.3829286992549896
