iteration,PSNR,SSIM,LPIPS
0,5.165709495544434,0.0030770795419812202,0.8503972887992859
5,5.796763896942139,0.0035603002179414034,0.845833420753479
10,6.439747333526611,0.0043940311297774315,0.8420717716217041
15,7.316581726074219,0.00623739417642355,0.8379511833190918
20,8.470970153808594,0.009493103250861168,0.8315295577049255
25,9.954157829284668,0.015052610076963902,0.8229566216468811
30,11.846334457397461,0.025160251185297966,0.8113875985145569
35,14.305439949035645,0.04520833492279053,0.7802568674087524
40,17.785017013549805,0.09324690699577332,0.6897010803222656
45,23.666961669921875,0.2533007264137268,0.5211423635482788
50,36.19261169433594,0.9162811040878296,0.1759318858385086
