iteration,PSNR,SSIM,LPIPS
0,5.550065040588379,0.0036595959682017565,0.7989151477813721
5,6.080131530761719,0.0047572022303938866,0.7948166728019714
10,6.753945350646973,0.0062872059643268585,0.7901722192764282
15,7.636825084686279,0.00861265230923891,0.7847858667373657
20,8.777002334594727,0.012367588467895985,0.7772326469421387
25,10.235068321228027,0.0187334306538105,0.7671720385551453
30,12.075627326965332,0.029905105009675026,0.7501230835914612
35,14.413933753967285,0.05095454677939415,0.6939306259155273
40,17.461223602294922,0.09670040011405945,0.5969610214233398
45,21.27973175048828,0.2397199124097824,0.47464418411254883
50,23.428760528564453,0.6606385111808777,0.3588060438632965
