iteration,PSNR,SSIM,LPIPS
0,5.7485737800598145,0.003429647535085678,0.8453843593597412
5,6.311638355255127,0.00543694943189621,0.8406959176063538
10,6.477101802825928,0.007114931009709835,0.8409654498100281
15,7.382131576538086,0.009979446418583393,0.8365238904953003
20,8.54637336730957,0.014176762662827969,0.8293219208717346
25,10.028166770935059,0.02089422568678856,0.8200267553329468
30,11.916117668151855,0.03246401622891426,0.8055360317230225
35,14.363275527954102,0.05445801839232445,0.764143705368042
40,17.809715270996094,0.1037154346704483,0.6793279051780701
45,23.57761573791504,0.25474628806114197,0.5218924880027771
50,35.92191696166992,0.9078758955001831,0.1861443668603897
