iteration,PSNR,SSIM,LPIPS
0,5.675776958465576,0.002489731414243579,0.7892377376556396
5,6.235207557678223,0.0029645918402820826,0.7856908440589905
10,6.950255870819092,0.003688259283080697,0.7812484502792358
15,7.861046314239502,0.004857842810451984,0.7766020894050598
20,9.006111145019531,0.0067592281848192215,0.7702621221542358
25,10.403433799743652,0.010095277801156044,0.7626556158065796
30,12.044564247131348,0.01653403788805008,0.7484700679779053
35,13.88178825378418,0.030774690210819244,0.710965633392334
40,15.719588279724121,0.07211291790008545,0.6380627751350403
45,16.944133758544922,0.2627565860748291,0.5473586916923523
50,17.064619064331055,0.4810153543949127,0.5427336692810059
