iteration,PSNR,SSIM,LPIPS
0,5.654045104980469,0.003083927324041724,0.7897442579269409
5,6.178625106811523,0.003407327691093087,0.7857143878936768
10,6.841220378875732,0.003858606331050396,0.7815496921539307
15,7.677670001983643,0.004660668782889843,0.776580810546875
20,8.717543601989746,0.006156618706882,0.7723211646080017
25,9.97201919555664,0.008950397372245789,0.7654061913490295
30,11.41880989074707,0.014654982835054398,0.7513905167579651
35,12.982226371765137,0.027940064668655396,0.7065643072128296
40,14.464059829711914,0.0677172914147377,0.6370214223861694
45,15.436604499816895,0.2599198520183563,0.5380694270133972
50,15.574209213256836,0.4753764569759369,0.5441277623176575
