iteration,PSNR,SSIM,LPIPS
0,5.612071514129639,0.0027458197437226772,0.7925156950950623
5,6.175723075866699,0.003253702539950609,0.7878409624099731
10,6.865702152252197,0.004073883406817913,0.7824217081069946
15,7.753681659698486,0.005449136719107628,0.7765140533447266
20,8.890362739562988,0.007696542423218489,0.7704588770866394
25,10.321928977966309,0.011531381867825985,0.7651842832565308
30,12.09320068359375,0.018588509410619736,0.7532557249069214
35,14.26022720336914,0.03331200033426285,0.710920512676239
40,16.853660583496094,0.07200050354003906,0.6190920472145081
45,19.421049118041992,0.22878137230873108,0.5010813474655151
50,20.23223304748535,0.5758897066116333,0.42275241017341614
