iteration,PSNR,SSIM,LPIPS
0,5.629929542541504,0.0034305723384022713,0.7893809080123901
5,6.26331090927124,0.004556270316243172,0.7873343229293823
10,6.884998321533203,0.005809774622321129,0.7828645706176758
15,7.698920249938965,0.007926886901259422,0.778383195400238
20,8.761078834533691,0.0116278026252985,0.7729013562202454
25,10.13139820098877,0.01787310093641281,0.7640796899795532
30,11.89338493347168,0.029174156486988068,0.7396091222763062
35,14.161595344543457,0.05058247596025467,0.6654658317565918
40,17.146757125854492,0.09545698761940002,0.5708974003791809
45,21.002182006835938,0.22417068481445312,0.44949790835380554
50,23.625308990478516,0.633502721786499,0.26578113436698914
