iteration,PSNR,SSIM,LPIPS
0,9.275705337524414,0.007785405032336712,0.7568783760070801
5,10.041688919067383,0.012992747128009796,0.7464544773101807
10,11.210344314575195,0.02116071619093418,0.734684944152832
15,12.538012504577637,0.033503904938697815,0.7167016267776489
20,14.12817096710205,0.0531676821410656,0.6865971088409424
25,16.097557067871094,0.08520786464214325,0.6273618936538696
30,18.605546951293945,0.1406216025352478,0.5396713018417358
35,21.758867263793945,0.24804627895355225,0.4585359990596771
40,25.422561645507812,0.4980238676071167,0.36303114891052246
45,27.25575065612793,0.7628931403160095,0.2942901849746704
50,26.85605812072754,0.7231928110122681,0.32200875878334045
