iteration,PSNR,SSIM,LPIPS
0,6.429103374481201,0.0041433060541749,0.7823969125747681
5,9.040204048156738,0.0070921797305345535,0.7562969923019409
10,10.341689109802246,0.010125232860445976,0.7455306053161621
15,11.554496765136719,0.014484801329672337,0.7346190810203552
20,12.923954963684082,0.021782364696264267,0.7200209498405457
25,14.556998252868652,0.03502223640680313,0.7007051706314087
30,16.56399917602539,0.0617607980966568,0.669568657875061
35,19.015275955200195,0.12473680824041367,0.5830975770950317
40,21.510459899902344,0.3037882447242737,0.4828593134880066
45,22.66358184814453,0.44917309284210205,0.3782954216003418
50,22.424057006835938,0.42544180154800415,0.41886335611343384
