iteration,PSNR,SSIM,LPIPS
0,11.297992706298828,0.010964684188365936,0.7754561901092529
5,10.66165542602539,0.010439280420541763,0.7895832657814026
10,12.033803939819336,0.016028890386223793,0.7765993475914001
15,13.591717720031738,0.025151360780000687,0.7605580687522888
20,15.418866157531738,0.04122836887836456,0.738334059715271
25,17.676219940185547,0.07151822745800018,0.6901717185974121
30,20.776351928710938,0.1375187635421753,0.607670783996582
35,25.585500717163086,0.3166499137878418,0.4947570562362671
40,33.960880279541016,0.8373764157295227,0.2886062562465668
45,35.72667694091797,0.915921688079834,0.195163294672966
50,35.470191955566406,0.9065031409263611,0.2119600921869278
