iteration,PSNR,SSIM,LPIPS
0,8.905062675476074,0.00588866975158453,0.8100035190582275
5,11.177835464477539,0.014392692595720291,0.7851940393447876
10,12.7007474899292,0.024744000285863876,0.7714868783950806
15,14.098663330078125,0.034522030502557755,0.7561203241348267
20,15.796228408813477,0.05135239660739899,0.7261476516723633
25,17.943626403808594,0.08237975090742111,0.6693991422653198
30,20.90476417541504,0.14835338294506073,0.5965930819511414
35,25.56135368347168,0.32334789633750916,0.4840194582939148
40,33.6557502746582,0.8055835962295532,0.28617966175079346
45,35.46249008178711,0.8929904699325562,0.24040161073207855
50,34.657161712646484,0.8694182634353638,0.2672848105430603
