iteration,PSNR,SSIM,LPIPS
0,5.687638282775879,0.0036879954859614372,0.7897899150848389
5,6.278476715087891,0.004384568892419338,0.7850521206855774
10,7.020554065704346,0.005369385704398155,0.779806911945343
15,7.970582008361816,0.0068476260639727116,0.7739436626434326
20,9.174617767333984,0.009278925135731697,0.7686854600906372
25,10.671000480651855,0.013497916981577873,0.7605092525482178
30,12.48898983001709,0.021402303129434586,0.732894778251648
35,14.648486137390137,0.038234882056713104,0.664557695388794
40,17.019245147705078,0.08431752026081085,0.5803525447845459
45,18.827939987182617,0.29451650381088257,0.48655444383621216
50,19.015613555908203,0.5304551124572754,0.4426666498184204
