iteration,PSNR,SSIM,LPIPS
0,5.605568885803223,0.002081833779811859,0.7904633283615112
5,6.150880813598633,0.0026725847274065018,0.7863143086433411
10,6.840880393981934,0.0035843942314386368,0.7816147208213806
15,7.7402849197387695,0.00517662800848484,0.7753418684005737
20,8.895055770874023,0.007866818457841873,0.7692686319351196
25,10.352851867675781,0.012512894347310066,0.7626473307609558
30,12.161280632019043,0.020985059440135956,0.7461512088775635
35,14.393204689025879,0.03816107660531998,0.6821966767311096
40,17.107370376586914,0.08076834678649902,0.5896695256233215
45,19.888042449951172,0.24273613095283508,0.4757564663887024
50,20.786727905273438,0.5862517356872559,0.4036596417427063
