iteration,PSNR,SSIM,LPIPS
0,6.4269208908081055,0.0017587948823347688,0.7821009755134583
5,1.4432309865951538,0.10233859717845917,0.7459667921066284
10,12.950271606445312,0.11374899744987488,0.6076043844223022
15,1.64578115940094,0.06823252141475677,0.75899338722229
20,12.930733680725098,0.1134304478764534,0.61036217212677
25,1.6429071426391602,0.0886724591255188,0.7470927238464355
30,12.906208038330078,0.11405636370182037,0.6189051866531372
35,1.8066859245300293,0.09863728284835815,0.7467020750045776
40,12.894043922424316,0.1155877411365509,0.6168872117996216
45,2.361900806427002,0.10031862556934357,0.7349126935005188
50,3.152984380722046,0.09173712134361267,0.717339038848877
