iteration,PSNR,SSIM,LPIPS
0,5.4914445877075195,0.003669984173029661,0.7896718382835388
5,6.005580425262451,0.00413888692855835,0.7845654487609863
10,6.669414043426514,0.004918607883155346,0.7799711227416992
15,7.514876842498779,0.006060244515538216,0.7752935886383057
20,8.58544635772705,0.007923751138150692,0.7716543674468994
25,9.918106079101562,0.011066923849284649,0.765981912612915
30,11.527913093566895,0.016780126839876175,0.743831217288971
35,13.401449203491211,0.028231365606188774,0.6891629695892334
40,15.43516731262207,0.05681590363383293,0.6093052625656128
45,17.168041229248047,0.16844303905963898,0.5255980491638184
50,17.64708137512207,0.5128313899040222,0.44514644145965576
