iteration,PSNR,SSIM,LPIPS
0,5.6574320793151855,0.003481051418930292,0.7964164018630981
5,7.62925386428833,0.0051091499626636505,0.7761023640632629
10,9.282065391540527,0.007555404677987099,0.7609686851501465
15,10.74666690826416,0.010993709787726402,0.7476494908332825
20,12.146350860595703,0.016307421028614044,0.7350473999977112
25,13.562912940979004,0.025401532649993896,0.7189709544181824
30,15.077905654907227,0.043470364063978195,0.6890665888786316
35,16.791301727294922,0.08725437521934509,0.6401604413986206
40,18.669004440307617,0.2208406925201416,0.5516043305397034
45,20.078195571899414,0.40111246705055237,0.46627986431121826
50,20.593379974365234,0.35098519921302795,0.4573076367378235
