iteration,PSNR,SSIM,LPIPS
0,5.4702324867248535,0.0030544749461114407,0.7950160503387451
5,6.028533935546875,0.003599474672228098,0.7898194789886475
10,6.699226379394531,0.004490706138312817,0.784293532371521
15,7.56328010559082,0.005913299974054098,0.7791351079940796
20,8.67463207244873,0.008192341774702072,0.7734777927398682
25,10.079035758972168,0.012052563950419426,0.7657970786094666
30,11.823783874511719,0.019224116578698158,0.7504649758338928
35,13.96729564666748,0.03370337188243866,0.7027168869972229
40,16.58053207397461,0.0687822550535202,0.6129765510559082
45,19.36869239807129,0.19358737766742706,0.5054675936698914
50,20.594396591186523,0.5855292081832886,0.4047622084617615
