iteration,PSNR,SSIM,LPIPS
0,5.164212226867676,0.0030762904789298773,0.8503943681716919
5,5.792481422424316,0.0035450102295726538,0.8459299802780151
10,6.443755626678467,0.004344936925917864,0.8419680595397949
15,7.327839374542236,0.0061788735911250114,0.8375992178916931
20,8.485209465026855,0.009417695924639702,0.831009030342102
25,9.971112251281738,0.014901912771165371,0.8225404620170593
30,11.869178771972656,0.024936774745583534,0.8120367527008057
35,14.336359977722168,0.045012567192316055,0.7813590168952942
40,17.827688217163086,0.09325966984033585,0.6885063052177429
45,23.76101303100586,0.25425535440444946,0.5196302533149719
50,36.566062927246094,0.9230751991271973,0.16533951461315155
