iteration,PSNR,SSIM,LPIPS
0,5.706146717071533,0.002990768291056156,0.7856552600860596
5,6.278355121612549,0.0035010441206395626,0.7819685339927673
10,7.02415132522583,0.004431685898452997,0.7776529788970947
15,7.986360549926758,0.006060368847101927,0.7726476788520813
20,9.216704368591309,0.00886756181716919,0.7674564123153687
25,10.757838249206543,0.013933617621660233,0.7595571279525757
30,12.668519973754883,0.02366301789879799,0.735174298286438
35,15.040593147277832,0.04428248852491379,0.6569358110427856
40,17.912921905517578,0.10022209584712982,0.556065022945404
45,20.582019805908203,0.34739693999290466,0.42197084426879883
50,21.019865036010742,0.6095715165138245,0.38318830728530884
