iteration,PSNR,SSIM,LPIPS
0,5.683180332183838,0.0029704496264457703,0.7901195287704468
5,6.230831146240234,0.0034162295050919056,0.786396324634552
10,6.93074893951416,0.004056457430124283,0.7821482419967651
15,7.814302444458008,0.005157466512173414,0.7782513499259949
20,8.91032886505127,0.007063145283609629,0.7751543521881104
25,10.222411155700684,0.010488342493772507,0.7720504999160767
30,11.707841873168945,0.01700073480606079,0.7623946070671082
35,13.249159812927246,0.030654188245534897,0.7185366153717041
40,14.583075523376465,0.06669993698596954,0.6593189239501953
45,15.250336647033691,0.20971032977104187,0.5823761820793152
50,15.208967208862305,0.3565990924835205,0.5386072397232056
