iteration,PSNR,SSIM,LPIPS
0,12.299739837646484,0.015155904926359653,0.7499948143959045
5,10.872319221496582,0.011167624965310097,0.7873510122299194
10,12.130626678466797,0.016789276152849197,0.7746982574462891
15,13.656904220581055,0.026130452752113342,0.7592934966087341
20,15.451203346252441,0.04214361310005188,0.7373958826065063
25,17.686485290527344,0.0723428875207901,0.6880741715431213
30,20.77507209777832,0.13816606998443604,0.608841061592102
35,25.55952262878418,0.3167104125022888,0.49236053228378296
40,33.799407958984375,0.833768367767334,0.2793399691581726
45,35.31242370605469,0.909199595451355,0.20870709419250488
50,34.84321975708008,0.8918159604072571,0.23920542001724243
