iteration,PSNR,SSIM,LPIPS
0,5.491952419281006,0.00223722355440259,0.7917785048484802
5,6.020796298980713,0.0026288614608347416,0.7878470420837402
10,6.686657428741455,0.003203438362106681,0.7841934561729431
15,7.535493850708008,0.00408597756177187,0.7805043458938599
20,8.613316535949707,0.005580919794738293,0.7765646576881409
25,9.949943542480469,0.008262190036475658,0.773104190826416
30,11.554841041564941,0.013326583430171013,0.7637947797775269
35,13.41430377960205,0.024066787213087082,0.7179903984069824
40,15.438850402832031,0.05200427770614624,0.6205378174781799
45,17.16973114013672,0.1604054570198059,0.5210645794868469
50,17.69209098815918,0.4829410910606384,0.4089542031288147
