iteration,PSNR,SSIM,LPIPS
0,6.373292922973633,0.003948735538870096,0.779956042766571
5,9.398408889770508,0.00833686999976635,0.747191309928894
10,10.547704696655273,0.012277672067284584,0.7374162077903748
15,11.76939868927002,0.018352825194597244,0.7266679406166077
20,13.194403648376465,0.028413310647010803,0.7096752524375916
25,14.908427238464355,0.04590992629528046,0.6833161115646362
30,17.01224136352539,0.0784725770354271,0.6307536363601685
35,19.5376033782959,0.14802411198616028,0.5477815866470337
40,22.086660385131836,0.3295060396194458,0.4543073773384094
45,23.33639144897461,0.49982908368110657,0.3471210300922394
50,23.138492584228516,0.46638059616088867,0.37941378355026245
