iteration,PSNR,SSIM,LPIPS
0,5.628449440002441,0.0037961737252771854,0.7938551306724548
5,6.302180290222168,0.005183867644518614,0.7920801639556885
10,6.958311557769775,0.006373481824994087,0.7876687049865723
15,7.808526515960693,0.008093945682048798,0.7835860252380371
20,8.903339385986328,0.01099156029522419,0.7757833003997803
25,10.296332359313965,0.015915613621473312,0.763689398765564
30,12.050437927246094,0.02469291165471077,0.7421658039093018
35,14.24575424194336,0.041653309017419815,0.6848936676979065
40,16.96148109436035,0.07985152304172516,0.5994258522987366
45,19.92194366455078,0.20748630166053772,0.48658180236816406
50,21.169723510742188,0.5714053511619568,0.3627000153064728
