iteration,PSNR,SSIM,LPIPS
0,6.115660190582275,0.002784564159810543,0.787794828414917
5,12.905497550964355,0.11236102879047394,0.6130915880203247
10,12.919073104858398,0.11326272785663605,0.6142253279685974
15,12.915544509887695,0.11289738118648529,0.6151070594787598
20,12.899194717407227,0.11330264806747437,0.6135060787200928
25,12.873512268066406,0.11184586584568024,0.6212393045425415
30,12.84801959991455,0.11316134035587311,0.6156420707702637
35,12.814777374267578,0.1131499707698822,0.608695924282074
40,12.789785385131836,0.11106258630752563,0.6126213669776917
45,12.878440856933594,0.11001142859458923,0.614044189453125
50,4.383944988250732,0.07101796567440033,0.6862479448318481
