iteration,PSNR,SSIM,LPIPS
0,9.31375789642334,0.00622529536485672,0.7488142251968384
5,9.810129165649414,0.008924161083996296,0.7448312044143677
10,10.928220748901367,0.014443585649132729,0.7351522445678711
15,12.177323341369629,0.02282864600419998,0.7211409211158752
20,13.65922737121582,0.036732979118824005,0.6994311809539795
25,15.478279113769531,0.060599956661462784,0.6623903512954712
30,17.777902603149414,0.10401197522878647,0.5886151790618896
35,20.604055404663086,0.19246938824653625,0.49364954233169556
40,23.68618392944336,0.4146181344985962,0.39872977137565613
45,25.260160446166992,0.7147376537322998,0.3274165689945221
50,25.16160774230957,0.7061958312988281,0.33981460332870483
