iteration,PSNR,SSIM,LPIPS
0,7.504724979400635,0.0046083275228738785,0.7690094709396362
5,9.324186325073242,0.007318240590393543,0.7515424489974976
10,10.448410034179688,0.010159045457839966,0.7421711683273315
15,11.621294021606445,0.014455854892730713,0.7321144342422485
20,12.997310638427734,0.02191615104675293,0.7183481454849243
25,14.657561302185059,0.03555102273821831,0.6973499655723572
30,16.724136352539062,0.06341584026813507,0.6625149250030518
35,19.265605926513672,0.1310490518808365,0.5759623050689697
40,21.82798957824707,0.3295711278915405,0.47297120094299316
45,22.905057907104492,0.48428958654403687,0.39636358618736267
50,22.748403549194336,0.5046377182006836,0.3834249675273895
