iteration,PSNR,SSIM,LPIPS
0,5.79806661605835,0.0029497225768864155,0.7881764769554138
5,6.670557975769043,0.005667302757501602,0.7845843434333801
10,7.217491626739502,0.005920674651861191,0.7870409488677979
15,7.9116716384887695,0.007057293318212032,0.7853555083274841
20,8.837687492370605,0.00925515964627266,0.7828717231750488
25,10.052117347717285,0.013342865742743015,0.7762851715087891
30,11.63002872467041,0.020796287804841995,0.7632300853729248
35,13.658170700073242,0.035429421812295914,0.7176212072372437
40,16.221817016601562,0.0679522305727005,0.6350178718566895
45,19.227821350097656,0.16409236192703247,0.5185246467590332
50,21.0599365234375,0.43697214126586914,0.40246278047561646
