iteration,PSNR,SSIM,LPIPS
0,6.002408504486084,0.003624596167355776,0.8426108360290527
5,7.5392746925354,0.007532489951699972,0.8287582397460938
10,7.9254841804504395,0.010486539453268051,0.828163743019104
15,7.4028191566467285,0.011548114009201527,0.8366947770118713
20,8.5477294921875,0.016085101291537285,0.8299768567085266
25,10.016266822814941,0.023141808807849884,0.8221443295478821
30,11.881856918334961,0.034925464540719986,0.8100945949554443
35,14.280532836914062,0.056482620537281036,0.7740383148193359
40,17.625011444091797,0.10284698754549026,0.6951645612716675
45,23.08538055419922,0.23673979938030243,0.5489419102668762
50,34.470703125,0.838270902633667,0.2724490165710449
