iteration,PSNR,SSIM,LPIPS
0,6.971175670623779,0.0037747144233435392,0.7799664735794067
5,12.999153137207031,0.12234675884246826,0.5920078158378601
10,13.000950813293457,0.12305907905101776,0.59040766954422
15,12.965571403503418,0.1189071536064148,0.6060693860054016
20,13.000950813293457,0.12305907905101776,0.59040766954422
25,13.000874519348145,0.1227639764547348,0.5894260406494141
30,13.000950813293457,0.12305907905101776,0.59040766954422
35,13.000950813293457,0.12305907905101776,0.59040766954422
40,13.000950813293457,0.12305907905101776,0.59040766954422
45,13.000950813293457,0.12305907905101776,0.59040766954422
50,1.325077772140503,0.12706473469734192,0.745768666267395
