iteration,PSNR,SSIM,LPIPS
0,5.538623809814453,0.0029976104851812124,0.795738697052002
5,6.129984378814697,0.0035869739949703217,0.7904864549636841
10,6.824306011199951,0.0044528706930577755,0.783967137336731
15,7.723816871643066,0.006016411818563938,0.7775719165802002
20,8.876605987548828,0.0087258480489254,0.7711873054504395
25,10.335686683654785,0.013529978692531586,0.7612178325653076
30,12.16077709197998,0.022249195724725723,0.7403053641319275
35,14.4332275390625,0.03980279713869095,0.6740248799324036
40,17.246957778930664,0.08238811790943146,0.5820418000221252
45,20.261486053466797,0.23985552787780762,0.46693745255470276
50,21.302289962768555,0.6104559898376465,0.4016673266887665
