iteration,PSNR,SSIM,LPIPS
0,5.750436782836914,0.0028226689901202917,0.7867552042007446
5,6.247565746307373,0.003456889186054468,0.7833298444747925
10,6.990507125854492,0.0044336807914078236,0.7797653675079346
15,7.9578094482421875,0.006017210427671671,0.7761526107788086
20,9.183216094970703,0.008669909089803696,0.770666778087616
25,10.71615982055664,0.013513821177184582,0.7605042457580566
30,12.607690811157227,0.02253595180809498,0.7392815947532654
35,14.926613807678223,0.04135805740952492,0.6787582635879517
40,17.663265228271484,0.09145189076662064,0.5919060707092285
45,20.07147789001465,0.3129708766937256,0.4887787103652954
50,20.438373565673828,0.5527147054672241,0.44021111726760864
