iteration,PSNR,SSIM,LPIPS
0,5.879436016082764,0.0038883881643414497,0.7883118987083435
5,6.8421196937561035,0.0047096679918468,0.7787139415740967
10,8.011555671691895,0.006078973412513733,0.7700473666191101
15,9.403698921203613,0.008217458613216877,0.762523353099823
20,11.008607864379883,0.011872763745486736,0.7531593441963196
25,12.741650581359863,0.018522821366786957,0.7369084358215332
30,14.416926383972168,0.0324857234954834,0.70337975025177
35,15.735662460327148,0.07143042236566544,0.6243076324462891
40,16.294898986816406,0.2302476465702057,0.5218890905380249
45,15.96802806854248,0.22449839115142822,0.4851636290550232
50,15.816489219665527,0.21636947989463806,0.4921228587627411
